14:36:33;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.55
14:37:03;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
14:37:32;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.55
14:38:02;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.55
14:38:33;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.55
14:39:03;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
14:39:33;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
14:40:02;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
14:40:32;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:41:03;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:41:33;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:42:03;Tu=75.44;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:42:32;Tu=75.44;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:43:02;Tu=75.44;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:43:33;Tu=75.44;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:44:03;Tu=75.44;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.56
14:44:33;Tu=75.50;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.56
14:45:02;Tu=75.50;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.56
